Video Title,Video ID,Published Date,Video Age (Days),Views,Likes,Comments,(Likes + Comments) / Views,Daily Views,Daily Likes
Soul Food Telephone : Feast Mode Hunger Squad // Sponsored By Toyota Rav4 Hybrid,_iRexXD3RL0,2016-02-14T19:00:01Z,3245,3228589,33864,1605,0.011,994.94,10.44
The Try Guys Try Immigrating To America,v-eLrAw-gGc,2017-10-07T15:00:08Z,2644,7328473,180499,10934,0.0261,2771.74,68.27
I Recreated The Cake From Kiki’s Delivery Service #shorts ￼,ZDcT9HYPCb0,2022-10-26T18:00:13Z,799,42899,1692,12,0.0397,53.69,2.12
Teens Swap Snacks On A Blind Date,bw490m-CWY4,2019-07-26T18:00:04Z,1987,747752,33421,2797,0.0484,376.32,16.82
Can You Make Any Food Dessert?,1zq4vj6SgZE,2017-01-05T18:00:01Z,2919,1419715,16924,605,0.0123,486.37,5.8
Was Alexander Hamilton Bisexual?,9z-wAAX8eVY,2018-06-03T18:00:12Z,2405,519924,28047,4884,0.0633,216.18,11.66
Australians Try Childhood Treats Transformed Into Ice Cream,H6iGynOQ88s,2016-03-03T02:00:00Z,3228,1045562,17921,1474,0.0185,323.9,5.55
We Tried Baking Cookies Blindfolded,OCJSBx6oOzk,2018-03-20T21:00:56Z,2480,414986,8015,330,0.0201,167.33,3.23
We Tried Gordon Ramsay's AirFryer Steak,YOvCLeZ846w,2021-05-24T18:00:09Z,1319,442584,4747,252,0.0113,335.55,3.6
Guys Have A Slumber Party For The First Time,6HS8j8uqfwA,2016-02-21T16:00:00Z,3238,1729959,39435,1233,0.0235,534.27,12.18
People Try Burger King’s Whopperrito,Ti945VNuphs,2016-08-16T22:00:15Z,3061,2071773,25195,1311,0.0128,676.83,8.23
Do You Know How To Pronounce These Words?,mRc8QgXG-8k,2015-08-10T01:00:00Z,3434,7676807,79163,8564,0.0114,2235.53,23.05
We Tried The Candy Corn Pizza Trend,H2EBSPVNMj4,2017-09-26T18:00:56Z,2655,686428,11680,928,0.0184,258.54,4.4
Natural Makeup Tutorial (A Parody),890JgywKVck,2015-02-27T21:19:17Z,3597,3457570,50423,3394,0.0156,961.24,14.02
This Oakland Catering Company Is Changing Lives Of Local Youths // Presented by BuzzFeed & Hyundai,UZH3jaaG_eM,2018-08-27T16:00:35Z,2320,483673,3346,121,0.0072,208.48,1.44
Fast Food Employees Rate Each Other's Chicken Sandwiches,jWRfsHBbGzo,2019-11-14T22:30:00Z,1876,5235902,115878,32443,0.0283,2790.99,61.77
A Person With A Terminal Illness Gives Life Advice,O2bGjVc3CT4,2016-04-09T19:00:01Z,3190,694689,44519,2261,0.0673,217.77,13.96
People Try To Explain Game Of Thrones Before The Theme Song Ends,EIO39s6RaNo,2017-08-05T21:00:07Z,2707,218329,3849,308,0.019,80.65,1.42
How To Choose The Perfect Profile Picture,PU7nanJTEn4,2015-06-09T18:04:16Z,3495,625609,12280,319,0.0201,179.0,3.51
$4 Breakfast Sandwich Vs. $30 Breakfast Sandwich,ACKYhlBi98Q,2020-08-30T15:00:02Z,1586,6047563,115840,4608,0.0199,3813.09,73.04
Does Filtered Vodka Taste Better?,eOmX2iK4uiw,2016-03-30T22:00:00Z,3200,1441556,19789,879,0.0143,450.49,6.18
Canadian and French People Swap Snacks,XljNJ3irnzk,2019-11-19T19:00:02Z,1871,397421,6351,864,0.0182,212.41,3.39
Kid Chef Vs. NFL Player: Cooking Challenge,TIFaFWEWUYA,2019-05-22T18:00:03Z,2052,5405842,66217,2641,0.0127,2634.43,32.27
I Only Ate Food That I Grew Or Foraged For One Year,JUR7_EmUy1k,2020-01-28T19:00:07Z,1801,3070212,117800,5532,0.0402,1704.73,65.41
Which Celebrity Makes The Best Pasta?,HTurOwGTXSs,2020-11-17T19:00:04Z,1507,1309440,28809,1721,0.0233,868.91,19.12
Trendy Vs. Traditional: Pancakes,AvSCSp53fcw,2019-04-24T21:10:36Z,2080,2154575,50383,1992,0.0243,1035.85,24.22
$12 Pork Vs. $715 Pork,IxD2NbXzgpQ,2018-04-29T15:00:37Z,2440,14871348,207694,23096,0.0155,6094.81,85.12
Guys Guess Makeup Prices,cIa0Hlp0bms,2016-03-25T20:00:00Z,3205,8791234,130007,6221,0.0155,2742.97,40.56
$4 Pancake Vs. $88 Pancake,YuCqyvBlcK8,2020-08-16T15:00:13Z,1600,5774165,124410,4836,0.0224,3608.85,77.76
$1 Cookie Vs. $90 Cookie,_yHnu58tIUg,2018-09-23T15:00:04Z,2293,10342398,161400,10167,0.0166,4510.42,70.39
Parents Reveal The Wackiest Things Their Kids Have Said,YG3J8bpaskA,2016-02-16T19:30:00Z,3243,1843021,32750,1026,0.0183,568.31,10.1
People Try Mexican Street Food,3L6Mb0evc0I,2015-11-01T22:00:01Z,3350,8661359,99132,8184,0.0124,2585.48,29.59
$2 Egg Vs. $95 Egg,JM1Qgsh2rn0,2017-05-07T15:00:00Z,2797,21835864,261890,21789,0.013,7806.89,93.63
Stages Of Every Game Night,WqwvQGXrAbc,2014-11-06T19:02:15Z,3710,818791,7820,259,0.0099,220.7,2.11
People Try Iconic Music Video Dances,iTg9n2iyuF8,2016-01-23T16:00:02Z,3267,7023151,132852,9013,0.0202,2149.72,40.66
Men Become Mermaids For A Day,udX16sFx1Wk,2015-11-18T00:00:00Z,3334,4846179,55211,2470,0.0119,1453.56,16.56
Disney Lovers Take A Disney Mandela Effect Quiz,6ixy90IkhsY,2020-04-16T18:00:02Z,1722,322064,7239,457,0.0239,187.03,4.2
Non-Sneakerheads Guess Sneaker Prices,wTggLci-QDY,2019-12-01T16:00:11Z,1859,968615,25159,2633,0.0287,521.04,13.53
I Made A Custom Dessert With The World's Best Pastry Chef,LvkC9T-y4wg,2018-10-03T18:00:01Z,2283,887754,17933,649,0.0209,388.85,7.86
Is Your Relationship Healthy?,Sa_4paeRcFk,2017-06-22T21:00:38Z,2751,504286,11093,472,0.0229,183.31,4.03
"$199 Chair Vs. $9,800 Chair",IM-f8-Q0Mgw,2019-04-21T15:00:02Z,2083,2406171,35648,2498,0.0159,1155.15,17.11
$11 Salad Vs. $95 Salad,LBJVq56fptQ,2019-08-04T15:00:04Z,1978,6361477,97707,5111,0.0162,3216.12,49.4
People Try Korean Shaved Ice,-fvrY7I0g1k,2017-01-26T18:00:17Z,2898,3310466,58128,2616,0.0183,1142.33,20.06
Which Celebrity Has The Best Brownie Recipe?,P14eiT88IsM,2018-06-24T18:00:08Z,2384,6832461,100513,6939,0.0157,2865.97,42.16
Which Celebrity Makes The Best Scrambled Eggs?,QD9A3Bwx67U,2017-09-11T21:00:25Z,2670,6282209,74030,4723,0.0125,2352.89,27.73
$6 Sandwich Vs. $180 Sandwich,FLqvTE1Eqfg,2018-10-14T15:00:02Z,2272,24824889,325291,19414,0.0139,10926.45,143.17
Americans Try Brazilian Snacks For The First Time,OjmOr_c04qQ,2014-06-17T00:21:39Z,3853,7377722,47464,4386,0.007,1914.8,12.32
How Bento Boxes Are Made,lSbIHFt7Q1E,2018-03-11T21:00:02Z,2489,559627,17247,560,0.0318,224.84,6.93
$47 Taco Vs. $1 Taco,DWq_sSSWWSI,2017-03-26T15:00:53Z,2839,24127723,282963,21706,0.0126,8498.67,99.67
I Made A Giant Cotton Candy Flower,-PRcexWpMjQ,2018-10-15T18:00:00Z,2271,1157877,23533,702,0.0209,509.85,10.36
Amateur Chef Vs. Professional Chef: Best Sandwich,ItJkf5V4psw,2017-12-11T20:00:20Z,2579,1921192,27088,595,0.0144,744.94,10.5
Couples Reveal How They Lost Their Wedding Ring // Presented By BuzzFeed & QALO,_vrtDb9J8JA,2017-06-05T16:24:45Z,2768,880249,6858,241,0.0081,318.01,2.48
When New Year's Resolutions Go Too Far,lNTGKoZkzys,2018-01-10T22:00:10Z,2549,252621,8195,296,0.0336,99.11,3.21
How One Community Is Turning A Crisis Into An Opportunity // Presented By Hyundai,A6aM6_tZa9k,2020-11-12T00:00:03Z,1513,1058064,976,126,0.001,699.32,0.65
Dark Web Questions Answered By A Former Cyber Criminal,0UuHn27dFpE,2020-05-22T21:00:01Z,1686,977124,21959,1414,0.0239,579.55,13.02
Which Disney Villain Are You?,KMU4lZlR2vU,2018-03-02T02:00:35Z,2499,478491,10203,452,0.0223,191.47,4.08
Cake Decorator Vs. Artist,o7Ax6SRTGks,2018-01-26T22:00:55Z,2533,17563888,208107,12970,0.0126,6934.03,82.16
People Try McDonald's Breakfast For The First Time,XUIdDYL1wJI,2014-11-25T23:57:15Z,3691,6006595,38852,5194,0.0073,1627.36,10.53
People Try McDonald’s Secret Menu,VR73D5kxl40,2016-09-22T17:00:03Z,3024,5675646,43822,2779,0.0082,1876.87,14.49
Women Try Pinterest Hair Tutorials,h2d54LPMmcc,2015-03-29T20:32:05Z,3567,8235749,83448,3175,0.0105,2308.87,23.39
Which Celebrity Makes The Best Burger?,R-G7H8_y7SQ,2020-07-19T15:00:12Z,1628,1909244,37570,1336,0.0204,1172.75,23.08
People Try Iconic Music Video Dances,iTg9n2iyuF8,2016-01-23T16:00:02Z,3267,7023151,132852,9013,0.0202,2149.72,40.66
Was Frida Kahlo Bisexual? • Queer History,ghCRlRVyZXA,2018-06-10T15:00:02Z,2398,520003,23282,1764,0.0482,216.85,9.71
People Try Korean Snail Slime Skincare,iAfBbrZsW4c,2017-06-18T21:00:25Z,2755,315259,5830,401,0.0198,114.43,2.12
Fast Food Employees Rate Each Other's Chicken Sandwiches,jWRfsHBbGzo,2019-11-14T22:30:00Z,1876,5235901,115878,32443,0.0283,2790.99,61.77
I Walk On Airplane Wings,jD4c5vgmK8c,2017-01-14T23:00:28Z,2910,220733,6289,473,0.0306,75.85,2.16
We Tried The Candy Corn Pizza Trend,H2EBSPVNMj4,2017-09-26T18:00:56Z,2655,686428,11680,928,0.0184,258.54,4.4
Country Vs. City,orqgsTFcoos,2015-08-12T21:30:00Z,3431,845840,12341,1740,0.0166,246.53,3.6
$128 Hot Pot Vs. $798 Meat Board,kfe9hmwjOVQ,2020-09-20T15:00:13Z,1565,4481566,89865,2890,0.0207,2863.62,57.42
The Try Guys Try K-pop Idol Makeup • K-pop: Part 2,d2XB59EyGEk,2015-09-24T23:25:37Z,3388,6147381,100359,4839,0.0171,1814.46,29.62
$4 Breakfast Sandwich Vs. $30 Breakfast Sandwich,ACKYhlBi98Q,2020-08-30T15:00:02Z,1586,6047540,115840,4608,0.0199,3813.08,73.04
Which Celebrity Makes The Best Pasta?,HTurOwGTXSs,2020-11-17T19:00:04Z,1507,1309441,28809,1721,0.0233,868.91,19.12
Kid Chef Vs. NFL Player: Cooking Challenge,TIFaFWEWUYA,2019-05-22T18:00:03Z,2052,5405845,66217,2641,0.0127,2634.43,32.27
I Only Ate Food That I Grew Or Foraged For One Year,JUR7_EmUy1k,2020-01-28T19:00:07Z,1801,3070212,117800,5532,0.0402,1704.73,65.41
Old Boyfriend Vs. New Boyfriend,x19KXDLxh0Q,2015-02-24T19:30:46Z,3600,3504301,60863,2001,0.0179,973.42,16.91
Trendy Vs. Traditional: Pancakes,AvSCSp53fcw,2019-04-24T21:10:36Z,2080,2154575,50383,1992,0.0243,1035.85,24.22
$12 Pork Vs. $715 Pork,IxD2NbXzgpQ,2018-04-29T15:00:37Z,2440,14871348,207694,23096,0.0155,6094.81,85.12
People Try Mexican Street Food,3L6Mb0evc0I,2015-11-01T22:00:01Z,3350,8661359,99132,8184,0.0124,2585.48,29.59
$4 Pancake Vs. $88 Pancake,YuCqyvBlcK8,2020-08-16T15:00:13Z,1600,5774170,124410,4836,0.0224,3608.86,77.76
Everything You Need To Know About Men's Hair Loss,_ATvs9Mtm5U,2016-04-09T14:00:01Z,3190,2032793,24749,2235,0.0133,637.24,7.76
"""Who's a good boy?""",igPSHbSxFrU,2024-12-31T00:00:34Z,3,4345,193,12,0.0472,1448.33,64.33
$1 Cookie Vs. $90 Cookie,_yHnu58tIUg,2018-09-23T15:00:04Z,2293,10342398,161400,10167,0.0166,4510.42,70.39
Americans Try Brazilian Snacks For The First Time,OjmOr_c04qQ,2014-06-17T00:21:39Z,3853,7377722,47464,4386,0.007,1914.8,12.32
$2 Egg Vs. $95 Egg,JM1Qgsh2rn0,2017-05-07T15:00:00Z,2797,21835871,261890,21789,0.013,7806.89,93.63
Men Become Mermaids For A Day,udX16sFx1Wk,2015-11-18T00:00:00Z,3334,4846178,55211,2470,0.0119,1453.56,16.56
Living With A Mental Disorder,ezI2W32yNg8,2015-12-06T19:00:01Z,3315,2083653,50583,5628,0.027,628.55,15.26
I Made A Custom Dessert With The World's Best Pastry Chef,LvkC9T-y4wg,2018-10-03T18:00:01Z,2283,887754,17933,649,0.0209,388.85,7.86
"$199 Chair Vs. $9,800 Chair",IM-f8-Q0Mgw,2019-04-21T15:00:02Z,2083,2406170,35648,2498,0.0159,1155.15,17.11
$11 Salad Vs. $95 Salad,LBJVq56fptQ,2019-08-04T15:00:04Z,1978,6361458,97707,5111,0.0162,3216.11,49.4
Which Celebrity Has The Best Brownie Recipe?,P14eiT88IsM,2018-06-24T18:00:08Z,2384,6832457,100513,6939,0.0157,2865.96,42.16
People Try Korean Shaved Ice,-fvrY7I0g1k,2017-01-26T18:00:17Z,2898,3310466,58128,2616,0.0183,1142.33,20.06
$6 Sandwich Vs. $180 Sandwich,FLqvTE1Eqfg,2018-10-14T15:00:02Z,2272,24824889,325291,19414,0.0139,10926.45,143.17
How Bento Boxes Are Made,lSbIHFt7Q1E,2018-03-11T21:00:02Z,2489,559627,17247,560,0.0318,224.84,6.93
Which Celebrity Makes The Best Scrambled Eggs?,QD9A3Bwx67U,2017-09-11T21:00:25Z,2670,6282209,74030,4723,0.0125,2352.89,27.73
People Try McDonald's Breakfast For The First Time,XUIdDYL1wJI,2014-11-25T23:57:15Z,3691,6006595,38852,5194,0.0073,1627.36,10.53
$47 Taco Vs. $1 Taco,DWq_sSSWWSI,2017-03-26T15:00:53Z,2839,24127723,282963,21706,0.0126,8498.67,99.67
Amateur Chef Vs. Professional Chef: Best Sandwich,ItJkf5V4psw,2017-12-11T20:00:20Z,2579,1921192,27088,595,0.0144,744.94,10.5
The Internet Latest Obsessions: 6  Viral Memes Explained,KqKdjA6tTHo,2025-01-02T20:00:13Z,1,4854,120,7,0.0262,4854.0,120.0
Women Try The Kylie Jenner Lip Kit • Ladylike,jpDaN4rfCVY,2016-01-09T15:00:02Z,3281,9192432,140550,4972,0.0158,2801.72,42.84
I Made A Giant Cotton Candy Flower,-PRcexWpMjQ,2018-10-15T18:00:00Z,2271,1157877,23533,702,0.0209,509.85,10.36
The Starbucks Limited-Edition Frappuccino Taste Test,Xc6UTD4B2EA,2015-06-15T21:30:01Z,3489,3814038,42148,2428,0.0117,1093.16,12.08
Cake Decorator Vs. Artist,o7Ax6SRTGks,2018-01-26T22:00:55Z,2533,17563889,208107,12970,0.0126,6934.03,82.16
British People Try American Candy,uaBa5xiAP0g,2015-09-06T23:00:00Z,3406,6838440,69593,7541,0.0113,2007.76,20.43
Parents Take The SAT,tVr8_2xQs9c,2016-04-03T22:00:01Z,3196,1754914,32103,3432,0.0202,549.1,10.04
PC Vs. Console Gaming (With Terry Crews) • Debatable,IMpH2QHLIgg,2016-09-17T21:00:01Z,3029,826271,22124,5660,0.0336,272.79,7.3
British People Try Biscuits And Gravy,qIvQs1F3i2U,2015-07-02T17:00:02Z,3472,3271165,29050,6527,0.0109,942.16,8.37
Which Celebrity Makes The Best Burger?,R-G7H8_y7SQ,2020-07-19T15:00:12Z,1628,1909248,37570,1336,0.0204,1172.76,23.08
American & Japanese People Swap School Lunches,mQES07mOEdM,2020-02-16T19:00:06Z,1782,5283899,101053,5872,0.0202,2965.15,56.71
People Try Weird Food Combinations That Actually Work,gwzWJ8d-0uw,2017-06-01T18:00:40Z,2772,2296559,31158,2290,0.0146,828.48,11.24
Trendy Vs. Traditional: Hot Dog,FDoOtcgv08w,2021-08-21T15:00:11Z,1230,383389,12100,454,0.0327,311.7,9.84
$2 Peking Duck Vs. $340 Peking Duck,NLVQ2qTFFxA,2018-06-03T15:00:24Z,2405,14001919,174193,11741,0.0133,5822.0,72.43
$2 Peking Duck Vs. $340 Peking Duck,NLVQ2qTFFxA,2018-06-03T15:00:24Z,2405,14001919,174193,11741,0.0133,5822.0,72.43
Single Woman Picks A Date Based On Their Japanese Cooking • Plate To Date,FavuSSqLy1s,2022-04-02T15:00:14Z,1006,818561,17728,614,0.0224,813.68,17.62
I Trained With A Dim Sum Chef For A Day,kQ2eB2PVA18,2019-02-09T16:00:06Z,2154,685244,15697,669,0.0239,318.13,7.29
Daniel Radcliffe Surprises Fans At A Movie Theater,OV--POoMuEc,2014-08-14T20:47:04Z,3794,6711541,133370,7008,0.0209,1768.99,35.15
What's It Like To Date Terry Crews?,1k9Qd-IsYPo,2016-09-19T17:00:01Z,3027,1407197,25378,1278,0.0189,464.88,8.38
Drunk Vs. Sober Nacho Taste Test,u0I6TFic-sg,2015-10-17T02:00:00Z,3366,5696892,69370,1891,0.0125,1692.48,20.61
Fast Food Chicken Nugget Taste Test,xID0WKjpLg0,2016-08-22T21:00:00Z,3055,2888942,26793,2364,0.0101,945.64,8.77
Gordon Ramsay Vs. J-Hope: Who Makes The Best Breakfast Sandwich? • Celebrity Recipe Royale,qiGMoLzfeh0,2021-05-23T15:00:31Z,1320,817247,33588,2481,0.0441,619.13,25.45
This S’mores Pizza Is The Dessert You Need,d_1s-e1wn6k,2015-08-13T19:00:01Z,3430,1693576,41292,1771,0.0254,493.75,12.04
I Made This Cold Fried Chicken From Worth It,K4C7PhCLlH0,2020-08-15T15:00:09Z,1601,902499,21073,590,0.024,563.71,13.16
Which Celebrity Makes The Best Steak?,UaOIqqlsYY4,2020-12-28T19:00:13Z,1466,897864,20588,1066,0.0241,612.46,14.04
$0.50 Dumpling Vs. $29 Dumplings • Taiwan,w3XS900kg1U,2019-10-13T15:00:16Z,1908,11476234,190444,9138,0.0174,6014.8,99.81
People Try The “World’s Hottest” Vodka,3mx7jm2LiD8,2016-03-26T18:00:00Z,3204,2073687,32316,967,0.0161,647.22,10.09
I Tried To Make Chocolate Chip Cookies With Zero Trash,ti_GjeVqqEw,2019-12-13T19:00:05Z,1847,764520,17877,757,0.0244,413.93,9.68
Professional Chefs Reveal Their Horror Stories,gOgfdAZq9rc,2019-10-07T21:00:04Z,1914,934725,19786,787,0.022,488.36,10.34
Americans Taste Test Indonesian Snacks,5F-JeIxMmHY,2015-03-14T01:01:50Z,3583,3822137,39281,8103,0.0124,1066.74,10.96
$7 Picnic Vs. $323 Picnic,r3Ti02CIFas,2020-11-01T16:00:10Z,1523,2748994,70120,2453,0.0264,1804.99,46.04
How I Fell In Love With My Coworker,fPTmr_O6prE,2020-01-25T16:00:06Z,1804,5539328,223947,13207,0.0428,3070.58,124.14
Single Guy Picks A Date Based On Their Mexican Food • Plate To Date,JwsErCKjjDU,2022-07-31T15:00:18Z,886,464188,11414,521,0.0257,523.91,12.88
Which Celebrity Has The Best Pancake Recipe?,1nEU4SiLN7o,2018-01-02T19:00:09Z,2557,11493401,146147,7378,0.0134,4494.88,57.16
6 Easy Microwave Hacks You'll Actually Use,FkCciDvMw74,2017-06-12T00:00:08Z,2762,1019753,17645,880,0.0182,369.21,6.39
Single Woman Picks A Date Based On Their Korean Cooking • Plate To Date,4wbQ8n7X07k,2021-10-23T15:00:02Z,1167,2019610,41017,1208,0.0209,1730.6,35.15
Single Woman Picks A Date Based On Their Chinese Cooking (Pt. 2) • Plate To Date,vtH5tD7vvh0,2022-03-26T15:00:26Z,1013,603253,13167,411,0.0225,595.51,13.0
The Try Guys Try Pregnancy Bellies • Motherhood: Part 1,3tvegr-O9vI,2015-05-07T02:28:30Z,3529,33819111,355504,13893,0.0109,9583.2,100.74
Latinos Taste Test Each Other's Holiday Dishes // Sponsored By Verizon,8TDe6_nZND8,2015-12-22T01:00:00Z,3300,2208779,37217,2858,0.0181,669.33,11.28
How To Act Like A Boss,uhWK8bLaF5I,2015-08-04T23:30:01Z,3439,905473,18367,550,0.0209,263.3,5.34
Are You Having A Quarter-Life Crisis?,pcPRZSURLEg,2013-07-17T20:47:10Z,4187,699855,10931,1205,0.0173,167.15,2.61
I Tried Making A Ridiculously Cute Bento Box,1e9ZMHZb43M,2018-03-13T18:00:33Z,2487,2886043,62800,2046,0.0225,1160.45,25.25
Fast Food Employees Rate Each Other's Chocolate Chip Cookies,sbPuUdEn5Mo,2020-12-23T19:00:28Z,1471,358823,8270,1588,0.0275,243.93,5.62
If Talking Politics Were Honest,krhsCK_f0xE,2016-05-07T22:00:01Z,3162,1204798,31641,1634,0.0276,381.02,10.01
£21.50 Vs. £144 Afternoon Tea,JkLsDxOQS94,2017-11-19T17:00:47Z,2601,1645538,29412,1782,0.019,632.66,11.31
Which Celebrity Makes The Best Ramen?,xiXLdTUEF_A,2020-10-11T15:00:31Z,1544,9101497,239174,9903,0.0274,5894.75,154.91
Can These 8 Americans Handle Caribbean Food?,zNUkeFbnYrc,2015-06-14T16:00:02Z,3490,3528308,43372,8364,0.0147,1010.98,12.43
Indonesian Food Taste Test,JM45NUAU2go,2015-08-05T21:37:31Z,3438,5552737,105413,14720,0.0216,1615.11,30.66
When You’re The Only Female Jester • Lesbian Princess Episode 04,0Hy9Vp3LfaI,2016-04-24T00:00:01Z,3176,640173,16567,458,0.0266,201.57,5.22
Teachers & Teens Swap Snacks,zCu-vBad8oU,2019-08-27T18:00:07Z,1955,3698610,53336,1881,0.0149,1891.87,27.28
Which Celebrity Makes The Best Holiday Cookie?,mLTNra42reg,2020-12-17T19:00:24Z,1477,337250,7624,606,0.0244,228.33,5.16
How An Idea Becomes Reality,PpwIe6n3C-4,2015-06-11T18:04:21Z,3493,654932,16315,418,0.0255,187.5,4.67
Women Try Kylie Jenner Lips For The First Time,oxViTxPkLFY,2015-03-24T18:52:33Z,3572,10727530,73672,5269,0.0074,3003.23,20.62
This 19-Year-Old Chef Charges $155 For Dinner,SMFWMWDgai4,2018-04-28T21:00:42Z,2441,2992529,44050,3283,0.0158,1225.94,18.05
Kristen Bell Takes The Good Person Quiz // Presented By BuzzFeed & NBC's The Good Place,3x1vXH4KcsU,2016-09-20T21:08:13Z,3026,2140568,45461,1097,0.0218,707.39,15.02
How One Rooftop Farm Could Make Your City Better // Presented By BuzzFeed & Hyundai,bKCs23drsRs,2017-06-13T01:14:47Z,2761,675575,8198,387,0.0127,244.68,2.97
Southerners Try Korean BBQ,KIophehT2oM,2016-03-18T21:00:01Z,3212,3904845,44600,2471,0.0121,1215.71,13.89
How Do You Use A Dishwasher • Korea Vs. America,wRfrnnAkNgY,2018-11-04T22:00:02Z,2251,754419,18057,1885,0.0264,335.15,8.02
Filipino Americans Try Each Other's Adobo,4j_8rEyYEXw,2022-02-20T16:00:04Z,1047,299818,7479,436,0.0264,286.36,7.14
Humans Are A Dog's Best Friend,RdTsvxRhyEU,2014-04-22T17:59:04Z,3908,2765787,41011,1821,0.0155,707.72,10.49
Americans Try Brazilian Sweets,D8Cg1MiMCq4,2015-09-17T01:00:00Z,3396,1568277,28997,1772,0.0196,461.8,8.54
I Tried Making This Fresh Soy Milk I Had In Taiwan,GWoP0lc-KqY,2020-08-09T15:00:08Z,1607,810575,29230,1145,0.0375,504.4,18.19
Couple Tries Home-Cooking Vs. $120 Salmon,2ODGg7XtTiw,2017-04-07T22:00:40Z,2827,4998515,83470,4153,0.0175,1768.13,29.53
Which Celebrity Has The Best Grilled Cheese Recipe?,c2bd6F_TUUw,2020-06-14T15:00:14Z,1663,2189733,47154,2535,0.0227,1316.74,28.35
People Try Moon Cakes (月餅) For The First Time,_BcPJ0YjlpU,2015-09-27T17:00:00Z,3385,2739669,37219,2850,0.0146,809.36,11.0
Making A Living As An Instagram Cat,nrnf7YijuKo,2016-05-15T21:00:00Z,3154,882561,22840,1204,0.0272,279.82,7.24
We Mixed 22 Cereals To Make Ice Cream,43Me7oFb24A,2019-06-01T15:00:00Z,2042,1963940,39017,1744,0.0208,961.77,19.11
Can Chefs Make Brussels Sprout-Haters Change Their Mind?,b7R9aIq2wYM,2018-01-10T18:00:09Z,2549,3298428,48227,3530,0.0157,1294.01,18.92
Dentists Reveal Secrets About Teeth Cleanings,3f5xOCowKc0,2019-04-18T21:00:02Z,2086,3100794,49570,2690,0.0169,1486.48,23.76
Mom Teaches Korean Americans How To Make Kimchi,lPzV0p2QPwY,2018-05-11T21:00:28Z,2428,4528496,116358,3510,0.0265,1865.11,47.92
Drunk Single People Review Valentine's Day Gifts,HKkxZftDd-M,2017-02-11T22:00:04Z,2882,3881690,68539,2276,0.0182,1346.87,23.78
"$27 Cake Vs. $1,120 Cake",n4bucphC9r4,2017-01-08T16:01:10Z,2916,37306116,483513,42550,0.0141,12793.59,165.81
Bad Bunny Vs. Kylie Jenner: Who Makes The Best Taco? • Celebrity Recipe Royale,L9uIzDi9qrc,2021-09-25T15:00:16Z,1195,97820,2268,142,0.0246,81.86,1.9
Melting 100 Chocolate Bars Into One Epic Bar,dM7BRsnJJhs,2018-06-17T21:00:47Z,2391,4763041,70097,3458,0.0154,1992.07,29.32
Chinese Americans Try Each Other's Stir Fry,NBbX1bEbaFI,2022-05-14T17:30:38Z,964,152981,3618,250,0.0253,158.69,3.75
Americans Experience A Kinder Surprise For The First Time,B66H_hSZ_m8,2016-04-21T22:00:00Z,3178,2494190,38454,4770,0.0173,784.83,12.1
I Tried Re-Creating This Vinegar Pie From Worth It,Em7u2BeQGP8,2020-05-24T15:00:16Z,1684,788231,20723,717,0.0272,468.07,12.31
Behind Eugene • Making A Viral BuzzFeed Video,mgIr5vC_-h8,2016-01-03T20:00:01Z,3287,6250984,174448,8975,0.0293,1901.73,53.07
What Pacific Islanders Want You To Know,WoOMZ5HLg9w,2017-05-18T21:00:39Z,2786,806739,27253,4087,0.0388,289.57,9.78
We Trained Like The Avengers Cast For 30 Days,1R_Q81cIA-M,2019-04-30T18:00:02Z,2074,2636557,45407,2148,0.018,1271.24,21.89
Which Celebrity Makes The Best Hot Dog?,pUsZAbXEss8,2020-08-23T18:00:06Z,1593,1095659,23361,1303,0.0225,687.8,14.66
People Try Secret Starbucks Drinks,CSJKmTboloI,2016-08-08T21:00:00Z,3069,4724137,59407,3343,0.0133,1539.31,19.36
Private Investigator Guesses Who Ate Their Lunch Out Of A Lineup,EyLkAvK2HE4,2023-08-07T16:00:09Z,514,16342,442,6,0.0274,31.79,0.86
Amateur Chef Vs. Professional Chef: Hangover Foods,xiyhNAhqlh8,2017-10-14T18:00:30Z,2637,9684022,128515,6006,0.0139,3672.36,48.74
Which “Grease: Live” Cast Member Can Blow The Biggest Bubble?,z63lbqCI6RU,2016-01-23T18:00:02Z,3267,958088,27732,1165,0.0302,293.26,8.49
Senior Citizens Guess The Price Of College Textbooks,4HqidQwetFc,2020-02-24T19:00:00Z,1774,226318,4057,743,0.0212,127.57,2.29
I Made This Fancy Ranch And Nuggets From Worth It,MnanvVTQaGk,2020-06-21T15:00:15Z,1656,1675051,46381,1311,0.0285,1011.5,28.01
Men Play With Barbies,ConFM2qDE_E,2016-01-30T16:00:01Z,3260,1908321,54810,2655,0.0301,585.37,16.81
American and French People Swap Cheeses,xwHCYXE6h_U,2019-11-08T22:00:05Z,1882,521407,9379,2176,0.0222,277.05,4.98
Which Celebrity Makes The Best Apple Pie? • Celebrity Recipe Royale,URnfE6ZJZz4,2021-03-14T15:00:19Z,1390,216327,4906,398,0.0245,155.63,3.53
Arachnophobes Meet Spiders,_toBTXho0wM,2014-12-04T02:33:45Z,3683,8007244,84599,16223,0.0126,2174.11,22.97
Parents Rate Their Children’s Kimchi,AzN0HmQCABw,2021-05-11T18:00:05Z,1332,753332,21329,439,0.0289,565.56,16.01
